"PLS","variable","initial","nac","nfn","nfs","ssp1","ssp3"
"13","farmland_low",0.108254295948427,0.0974363046698272,0.110491220955737,0.100858108606189,0.00654605352247017,0.0637815159279853
"13","farmland_medium",0.160048886347795,0.0574161147233099,0.104582766769454,0.133030468132347,0.144507324846927,0.134640422213124
"13","farmland_high",0.0103716695439289,0.022943066956941,0.0223851651526275,0.00903270367234654,0.0198878881055862,0.00960654627124313
"13","forest_lowmedium",0.107765471795574,0.0215244013816118,0.00668951391708106,0.0266889834310859,0.0446321812923998,0.0929677738458849
"13","forest_high",0.310044884681702,0.350421071052551,0.401795923709869,0.378576546907425,0.435992658138275,0.350096970796585
"13","landscape_div",0.158141389038065,0.288780854316428,0.229499743320048,0.207497144290755,0.166122049977275,0.142652959126281
"14","urban",0.00492249638773501,0.00512269954197109,0.00575584208127111,0.00607116194441915,0.0082809051964432,0.00878641824238002
"14","farmland_low",0.00300805320148356,0.0319123905974266,0.0181959688052302,0.0320250055374345,0.00236740286709392,0.00476483633974567
"14","farmland_medium",0.00585093892004807,0.00538546635652892,0.00316571323492099,0.00503511057468131,0.00333088077604771,0.00178180850343779
"14","farmland_high",0.00212715897578164,0.00197950913570821,0.00214467693831466,0.00222225561083178,0.00272526622211444,0.00195198121218709
"14","forest_lowmedium",0.317795068025589,0.231394860893488,0.22788630053401,0.236475020647049,0.286520823836327,0.298800781369209
"14","forest_high",0.00710471114143729,0.0790427252650261,0.0803215280175209,0.0796007961034775,0.0413469672203064,0.025050425902009
"14","landscape_div",0.0167319829051849,0.0147674889303744,0.0289493844211393,0.0149526771965611,0.0640600209480908,0.0151929208659567
"15","urban",0.0343732805922627,0.0361088775098324,0.0441095530986786,0.0368708455935121,0.0430512642487884,0.0477500753477216
"15","farmland_low",0.0431359263493505,0.224823263706639,0.0953731553163379,0.0565973853226751,0.00931295793270692,0.0561317352112383
"15","farmland_medium",0.0534225106239319,0.0286585116409697,0.0505016290117055,0.0280658673509606,0.0457181566889631,0.0504592973738909
"15","farmland_high",0.00101595907472074,0.0245946745853871,0.0201498549431562,0.00232823948317673,0.171062098816037,0.0378444720408879
"15","forest_lowmedium",0.273589299060404,0.0888964175246656,0.0788638205267489,0.235109857283533,0.119544513057917,0.173136343015358
"15","forest_high",0.166871264576912,0.185073867440224,0.336451768875122,0.231977313756943,0.194048166275024,0.241882905364037
"15","landscape_div",0.123396687209606,0.105448079470079,0.0789484812412411,0.104728443620843,0.103839478433656,0.0856792111881077
"16","urban",0.0291370106860995,0.0348532032221556,0.0314650060608983,0.0371997319161892,0.0303936824202538,0.0352609716355801
"16","farmland_low",0.231550263240933,0.197887014131993,0.268312579020858,0.232143389061093,0.0561017183354124,0.270618329641366
"16","farmland_medium",0.319439511280507,0.0539664896941758,0.170866691507399,0.245114179968368,0.343686991836876,0.293850100686541
"16","farmland_high",0.0355352896731347,0.0358911641815212,0.0537403634516522,0.0405508617404848,0.028158362954855,0.0141903915800867
"16","forest_lowmedium",0.155356615781784,0.129978502169251,0.10315465182066,0.116136565804482,0.205193508416414,0.193724052980542
"16","forest_high",0.0517904795706272,0.0236469451338053,0.0433088652789593,0.0352313183248043,0.0182495545595884,0.0498146489262581
"16","landscape_div",0.142852906603366,0.452791363365577,0.310642789077974,0.25623516671476,0.285839267424308,0.0621886111648564
