"","sci_name_out","intercept","trend_past","sd_past","trend_BAU","sd_BAU","trend_SSP1","sd_SSP1","trend_SSP3","sd_SSP3","trend_nac","sd_nac","trend_nfn","sd_nfn","trend_nfs","sd_nfs","trend_past_signif","sd_past_signif","trend_BAU_signif","sd_BAU_signif","trend_SSP1_signif","sd_SSP1_signif","trend_SSP3_signif","sd_SSP3_signif","trend_nac_signif","sd_nac_signif","trend_nfn_signif","sd_nfn_signif","trend_nfs_signif","sd_nfs_signif","PLS","pressure_removed"
"6558","Prunella modularis",-0.567789724496019,-0.131672338805689,0.254697396033587,0.841152353437251,0.34715504575216,0.623750217080744,0.405652946850261,0.796481432851894,0.359456595637758,0.664022356485172,0.346277168509226,0.563372063428738,0.388929066686607,0.531889662273672,0.370604253225168,-0.267333941784985,0.233129398300221,0.545225879795281,0.280732569915017,0.557865280883951,0.279794041435014,0.650964913402242,0.282185488425139,0.591856356982669,0.277730246913424,0.569287813031045,0.276547459100773,0.549628011928945,0.271599439345023,"17","none"
"6559","Prunella modularis",-0.423303714346638,-0.00744191919177507,0.0277444796962321,-0.0266384653564279,0.0397293596717913,0.00174235301104237,0.0450678636808272,0.00936535747890324,0.0466619814989833,0.0245624739800852,0.0429334345701463,0.0157857774553372,0.0414062934993177,0.0203885365139777,0.0414058041580115,-0.028419514447891,0.0216693220667349,-0.0317233913172407,0.0207187446586996,0.00372378397086945,0.0239751368275547,0.00874459436539088,0.0245056774387955,0.00412620356312074,0.0259391696192072,0.00527043617786935,0.025702525286332,0.00320159982616028,0.0245767464674561,"18","none"
"6560","Prunella modularis",1.07196184420426,-0.127281318486467,0.05729277196397,-0.381266848230416,0.0690648035606759,-0.581904123853616,0.0726667850487504,-0.536520073698917,0.0755016806753635,-0.484746340786097,0.0698783853820019,-0.505910453028044,0.075048297158598,-0.488745296479542,0.0729635390290782,-0.138494092243249,0.0564663773405097,-0.379302605569607,0.0717290863186934,-0.55636609561134,0.0703898749257575,-0.514934426062536,0.0746010689127545,-0.451710758027127,0.0670477161564473,-0.471452047282318,0.0735332584325498,-0.460562496964404,0.0709111050585806,"19","none"
"6561","Prunella modularis",9.55084464638339,-0.0703435027158881,0.145357590603462,0.026271592924328,0.199648494577529,0.0301824642209269,0.203699392127495,0.0859707220648259,0.201683403584756,0.0332832418078993,0.213208969979232,0.0778881788663717,0.210322117278627,0.018589371868716,0.198657736623897,-0.154220244093683,0.111801314409865,-0.154220244093683,0.108871085886493,-0.158494386440679,0.10925751354849,-0.161139134022264,0.112129640758666,-0.158331601858248,0.117244140412745,-0.160153923637248,0.113759645194034,-0.160456049615949,0.109132098882806,"21","none"
"6562","Prunella modularis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22",NA
"6563","Prunella modularis",1.01618362880185,-0.0785232317589272,0.0263506235913121,0.0739652616547569,0.064803974401844,0.0126005912363006,0.0665545377315339,0.0553784660696494,0.0660690062999643,0.0328316378420402,0.0650919323901632,0.0562327019596101,0.0710427480393465,0.0449853540392924,0.0669716435699726,-0.0771876791418095,0.0254075874439688,0.0529537887988506,0.0604669530491666,0.00706300568766388,0.0604960354612571,0.0445604222211955,0.0587261458401224,0.0227671272338593,0.061379667512568,0.0427823840379431,0.0576384874876102,0.0308563426988358,0.0625484609285757,"23","none"
"6564","Prunella modularis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24",NA
"6565","Prunella modularis",3.60116471275799,-0.00289863654109925,0.10135769422378,-0.0188954284460066,0.108146494139888,-0.0402175215208205,0.104018500000002,-0.0317735387943773,0.109208088100994,0.00977850191040225,0.108271913443387,-0.0105099953354784,0.11280302595318,0.00382770373867364,0.109038694585621,0.121017087438359,0.0782427209583014,0.121017087438359,0.0758086128647865,0.0862117687285576,0.0824724011864335,0.0965931618119709,0.0777554087417656,0.0563689776866382,0.0819472626347437,0.0545996536624402,0.0800212690132802,0.0541870368765199,0.0831301344932808,"25","none"
"6566","Prunella modularis",1.90960955188121,-0.0179337031245225,0.00394753268189331,-0.0315576629941476,0.00971067949406153,-0.034824605104221,0.00973891065062493,-0.035669947819861,0.0107163280335845,-0.0292158542232612,0.010626367616083,-0.0298811535669656,0.010555038379951,-0.0308976535588976,0.0101838569654292,-0.0169217495241184,0.00383487097577471,-0.0316476262213394,0.00881795870658101,-0.035991291321443,0.00945560826203407,-0.0327257134950581,0.0088548024805492,-0.0334537365358059,0.00915202768748319,-0.0317317423262913,0.00893324214836762,-0.0325311462420239,0.00887463092631699,"europe","none"
"6567","Prunella modularis",1.90960955188121,0.00750590930338466,0.00133486362207033,-0.00611805056624038,0.00901261257843101,-0.00938499267631383,0.00965380682499799,-0.0102303353919539,0.00980178821980933,-0.00377624179535401,0.0101983828187762,-0.00444154113905845,0.00948412956180484,-0.00545804113099044,0.0092780183784141,0.00851786290378879,0.00103561656138304,-0.00620801379343225,0.00810689724354667,-0.0105516788935358,0.00858430143902931,-0.00728610106715096,0.00831576878438146,-0.00801412410789868,0.00823887325107547,-0.0062921298983841,0.00818327968167915,-0.0070915338141167,0.00865707471220764,"europe","year"
"6568","Prunella modularis",1.90960955188121,-0.0178564867701111,0.0040366510863388,-0.0314804466397361,0.0095526323752448,-0.0352122960431529,0.0102114561152088,-0.0363195430971599,0.010725363792644,-0.0299710045930584,0.0106877972080238,-0.0307935522453765,0.00994471904926718,-0.031516355318389,0.010024788779531,-0.0169217495241184,0.00395917336883497,-0.0316476262213394,0.00914872125489261,-0.035991291321443,0.00920567352999102,-0.0327257134950581,0.008966504267504,-0.0334537365358059,0.00897996081861286,-0.0317317423262913,0.00909774566770399,-0.0325311462420239,0.00937349149883219,"europe","d_impervious"
"6569","Prunella modularis",1.90960955188121,-0.0173948852216525,0.00370764738048869,-0.0310188450912776,0.00971034771106807,-0.0350260713629049,0.010361296847917,-0.0359635189882284,0.0103794397682526,-0.0303696620916667,0.0107810525755421,-0.0308482659104411,0.0101748434346903,-0.0317551160089294,0.00993827423596455,-0.0163829316212484,0.00399214646068012,-0.0311088083184695,0.00862571203853297,-0.0361927575801269,0.00940825728956381,-0.0330192846634255,0.00895739224093396,-0.0346075444042114,0.00895697598640038,-0.0326988546697667,0.00947837554749614,-0.0333886086920557,0.0093462381229723,"europe","d_tempsrping"
"6570","Prunella modularis",1.90960955188121,-0.0193694463792957,0.00410501921600467,-0.0329934062489207,0.00945868607338299,-0.0365571527793219,0.0106082262359405,-0.0366005019928736,0.0107356307794488,-0.0340616183461863,0.0102162462815331,-0.0350913793199698,0.0103953887392312,-0.0358202961937148,0.00990489680649662,-0.0183574927788916,0.00388448453982905,-0.0330833694761126,0.00898924026150162,-0.0377238389965438,0.00941616212048271,-0.0336562676680707,0.00881126743452332,-0.038299500658731,0.00940614330261166,-0.0369419680792955,0.00919030021628645,-0.037453788876841,0.00918870278174981,"europe","d_tempsrpingvar"
"6571","Prunella modularis",1.90960955188121,-0.0166953476632062,0.00394140108798419,-0.0303193075328313,0.00979429193737011,-0.0303024360584679,0.0101750705497936,-0.0326482682842879,0.010725818436483,-0.0241371542110836,0.0104858471198811,-0.0235380431881557,0.0105279964200818,-0.0245187693040558,0.0101659274776907,-0.0156833940628021,0.00373822007246449,-0.0304092707600231,0.00896089105458168,-0.0314691222756899,0.00946856503702389,-0.029704033959485,0.00873140406749098,-0.0283750365236283,0.00924810622191078,-0.0253886319474813,0.00924332726087847,-0.0261522619871821,0.00907936109554479,"europe","d_precspring"
"6572","Prunella modularis",1.90960955188121,-0.0184272139370505,0.004059406464786,-0.0320511738066755,0.00979454108997492,-0.0299993079278411,0.0104389405883653,-0.0361279918566698,0.0106390308480184,-0.0270030065303651,0.0106299126011887,-0.0306230188303338,0.0103388321062934,-0.030914852989246,0.0101505874132808,-0.0174152603366464,0.00393020009830528,-0.0321411370338674,0.00882975052307169,-0.0311659941450631,0.00931419332370817,-0.0331837575318669,0.00891125469194004,-0.0312408888429098,0.00913635571861514,-0.0324736075896595,0.00907929953697329,-0.0325483456723722,0.00875451440036762,"europe","d_shannon"
"6573","Prunella modularis",1.90960955188121,-0.0189505496518128,0.00411361431639723,-0.0325745095214379,0.010011009687506,-0.0390633195228709,0.0100500505272476,-0.0371002979339319,0.0108733251516683,-0.0298706468529429,0.0105117106155641,-0.0303898717113811,0.00995270862750443,-0.0317646405082629,0.0103583804691119,-0.0179385960514087,0.00386989996779645,-0.0326644727486297,0.00946978029215575,-0.0402300057400929,0.00910150425407584,-0.034156063609129,0.00869838909343385,-0.0341085291654876,0.00882702972666295,-0.0322404604707067,0.0088587251289639,-0.0333981331913891,0.00896545981568702,"europe","protectedarea_perc"
"6574","Prunella modularis",1.90960955188121,-0.0180095510262036,0.00385417842767393,-0.0316335108958286,0.0098809277493739,-0.0362568145997078,0.010714150989598,-0.0366761444617313,0.0109923324815701,-0.0317634696661608,0.0101332312320606,-0.0316336202982407,0.00991249076229367,-0.0326865985781374,0.0100583016721238,-0.0169217495241184,0.00385883880963095,-0.0316476262213394,0.00861812461815876,-0.035991291321443,0.0094437011744519,-0.0327257134950581,0.00869296462332311,-0.0334537365358059,0.0093388531370561,-0.0317317423262913,0.00928185913410758,-0.0325311462420239,0.00886404569783634,"europe","d_treedensity"
"6575","Prunella modularis",1.90960955188121,-0.0170021395680859,0.00389050063526405,-0.0306260994377109,0.0102116336116779,-0.032505454905002,0.0106757069162067,-0.0339571995120407,0.0104079145511239,-0.0264491764714997,0.0103184343667112,-0.0271699286639455,0.0103375956004811,-0.0281908589115236,0.0100459212969562,-0.0169217495241184,0.00384899627302423,-0.0316476262213394,0.00881761747135041,-0.035991291321443,0.00924989738153459,-0.0327257134950581,0.00924674045629801,-0.0334537365358059,0.00904968515687984,-0.0317317423262913,0.00902928353406796,-0.0325311462420239,0.00921770688767561,"europe","eulandsystem_forest_lowmedium"
"6576","Prunella modularis",1.90960955188121,-0.018156748899225,0.00398599853666741,-0.032882625596446,0.00898670437336159,-0.0361495677065194,0.00991122740807738,-0.0369949104221595,0.0102147137496591,-0.0305408168255596,0.00983552294384932,-0.0312061161692641,0.00950735202331605,-0.0322226161611961,0.00911559182076887,-0.0169217495241184,0.00389476451675204,-0.0316476262213394,0.00866722049594781,-0.035991291321443,0.00950325691255356,-0.0327257134950581,0.00862953140481964,-0.0334537365358059,0.00915331251996028,-0.0317317423262913,0.0093396622065426,-0.0325311462420239,0.00878493484408723,"europe","eulandsystem_forest_high"
"6577","Prunella modularis",1.90960955188121,-0.0203087909232046,0.00395261228973331,-0.063889622598944,0.00683552125324245,-0.0671565647090175,0.00781749417335295,-0.0680019074246575,0.00840852506156244,-0.0615478138280576,0.00789600340263104,-0.0622131131717621,0.00797049597925763,-0.0632296131636941,0.00785320279401212,-0.0192968373228005,0.00378239443592554,-0.0639795858261359,0.00580003122366218,-0.0683232509262394,0.006405905339165,-0.0650576730998546,0.00559921972500897,-0.0657856961406023,0.0061275106981606,-0.0640637019310877,0.00609557382672833,-0.0648631058468204,0.00594986116216046,"europe","d_agri"
"6578","Prunella modularis",1.90960955188121,-0.022907550999224,0.0038736644684133,0.00815123763448636,0.00885982909078892,0.0048842955244129,0.00938537755061735,0.00403895280877288,0.00969813388913543,0.0104930464053727,0.00975386934520536,0.00982774706166828,0.00925211516682732,0.00881124706973629,0.00912012560933939,-0.0218955973988199,0.0037197685035133,0.00806127440729448,0.00793094445717768,0.00371760930719094,0.00828089418027608,0.00698318713357577,0.00791008516754181,0.00625516409282805,0.00791828049550309,0.00797715830234264,0.00811988033679449,0.00717775438661004,0.00790147841695362,"europe","eulandsystem_farmland_low"
"6579","Prunella modularis",1.90960955188121,-0.0179818734095404,0.0039431399221987,-0.0316058332791654,0.00979698109739294,-0.0355158161349023,0.0105128362514834,-0.0318079449323682,0.00994878347513238,-0.0313100100452306,0.00993480409630239,-0.0302455026517478,0.0104126900121601,-0.0311878953326806,0.00988578291372929,-0.0169217495241184,0.00395332045470548,-0.0316476262213394,0.00920395208084808,-0.035991291321443,0.00954677273427381,-0.0327257134950581,0.00913533623743215,-0.0334537365358059,0.00881881547245614,-0.0317317423262913,0.00897804061824222,-0.0325311462420239,0.00891506079449127,"europe","eulandsystem_farmland_medium"
"6580","Prunella modularis",1.90960955188121,-0.0175834654735651,0.00396804516270946,-0.0312074253431901,0.00970612991483689,-0.0344743674532636,0.0104871699504813,-0.0353197101689036,0.011115483473706,-0.0294985300506027,0.0107606199884317,-0.0300887901325449,0.0106036331923128,-0.0312150897345853,0.0100374358274626,-0.0169217495241184,0.00379222269332678,-0.0316476262213394,0.0090961061720934,-0.035991291321443,0.00967892816005821,-0.0327257134950581,0.00894245431636453,-0.0334537365358059,0.0091118336057551,-0.0317317423262913,0.00919581934629581,-0.0325311462420239,0.00921797828548974,"europe","eulandsystem_farmland_high"
"6581","Psittacula krameri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"6582","Psittacula krameri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA
"6583","Psittacula krameri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA
"6584","Psittacula krameri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5",NA
"6586","Psittacula krameri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7",NA
"6587","Psittacula krameri",-22.3710825303516,-0.0319412284994134,0.909563227287775,13.0028531671007,5.78444391684653,13.0192542878232,5.76863261905446,13.1782175087739,5.89773176855253,12.867100172681,5.81768131438144,12.5954448431006,5.54658370017272,12.9868288814964,5.59187507997478,-0.647807454781817,0.802509524120217,4.47102964698742,1.39805973029426,4.42076887801158,1.33463504978517,4.48064121220832,1.33380114920021,4.18668778845766,1.36325877183574,3.8625954491927,1.37561160063766,4.32321158869368,1.34261172055905,"10","none"
"6588","Psittacula krameri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12",NA
"6589","Psittacula krameri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18",NA
"6590","Psittacula krameri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19",NA
"6591","Psittacula krameri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21",NA
"6592","Psittacula krameri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23",NA
"6593","Psittacula krameri",-2.20219173083087,0.279543976022282,0.0280674301329793,1.70418193896139,0.0806157298720463,1.68590285137574,0.0782243884481477,1.66026421589557,0.0794321862227821,1.68537931607474,0.0760038347135413,1.67680845225472,0.0796524164945721,1.67773522250831,0.0756492846097564,0.257626317743568,0.0257732451266169,1.68226428068268,0.0807051218804825,1.66435362789475,0.0758301748935321,1.65807600707244,0.079066505089235,1.65694305296009,0.0771737900711799,1.65602291105895,0.0795913749180496,1.65461750787935,0.0781560466240067,"europe","none"
